id,district,title
10100003005,Manfuha Al Jadidah ,1
10100003018,Al Suwaidi ,1
10100003021,Al Murabba ,1
10100003035,Al Jazeerah ,1
10100003053,Olaishah ,1
10100003055,Al Khaleej ,1
10100003058,ab ,1
10100003061,Al Shifa ,1
10100003062,Al Muhammadiyah ,1
10100003063,Al Sulaimaniyah ,1
10100003069,Sultanah ,1
10100003071,Al Badeah ,1
10100003083,Al Nafel ,1
10100003091,hahrat Al Badeah ,1
10100003101,Qurtubah ,1
10100003110,Al Muruj ,1
10100003114,Al Wisham ,1
10100003126,West Oraija ,2
10100003127,Al Uraija ,2
10100003128,Middle Oraija ,1
10100003140,Al Munisiyah ,2
10100003142,Irqah,1
